iter	Logloss
0	0.6925991535
1	0.6912457943
2	0.6899306774
3	0.6892216682
4	0.6880712509
5	0.6871299744
6	0.6858859062
7	0.6849034786
8	0.684177351
9	0.6832288265
10	0.682070446
11	0.6817523956
12	0.6799850464
13	0.6790247917
14	0.6781951904
15	0.6773026466
16	0.6761871338
17	0.6746282578
18	0.6737609386
19	0.6728902817
20	0.6723488331
21	0.6719285488
22	0.6705221176
23	0.6697207451
24	0.6687404633
25	0.6674938202
26	0.6665624619
27	0.6654665947
28	0.6642681122
29	0.6629446507
30	0.6613733292
31	0.6600681305
32	0.6593540192
33	0.6580252647
34	0.6568580627
35	0.6558772564
36	0.6551771164
37	0.6538243771
38	0.6531266689
39	0.6519556046
40	0.6509634495
41	0.6500405788
42	0.6489358902
43	0.6482177734
44	0.6472083569
45	0.6459909916
46	0.6449988365
47	0.6443835258
48	0.6437081814
49	0.6433446884
50	0.6428120613
51	0.64231143
52	0.6416571617
53	0.6406304359
54	0.6397706985
55	0.6391083717
56	0.6383493423
57	0.6375804424
58	0.6368688583
59	0.6362607002
60	0.6352939129
61	0.6345962048
62	0.6338157177
63	0.6331367016
64	0.6325270653
65	0.6320983887
66	0.6312984943
67	0.6309856415
68	0.6304405212
69	0.6296377659
70	0.6294966698
71	0.6291012764
72	0.6287752151
73	0.6281825066
74	0.6273039818
75	0.6270177841
76	0.6262013435
77	0.6255141258
78	0.6249479771
79	0.6242077351
80	0.6235695839
81	0.6227911472
82	0.6219827175
83	0.6209806442
84	0.6206210613
85	0.6199721813
86	0.6189806938
87	0.6180942535
88	0.6171703815
89	0.6162916183
90	0.6156036377
91	0.6151629448
92	0.6146045685
93	0.614132309
94	0.6131182194
95	0.6124704838
96	0.6114692688
97	0.6105657101
98	0.6100304604
99	0.6088867188
100	0.608173275
101	0.6073223114
102	0.6067369938
103	0.6062428474
104	0.6059461117
105	0.6056259155
106	0.6053100586
107	0.6050330162
108	0.6044548988
109	0.6038161278
110	0.6036180496
111	0.6026022911
112	0.6020325661
113	0.6013399124
114	0.6003911018
115	0.5994437218
116	0.5986027718
117	0.5980789661
118	0.5972101688
119	0.5966816902
120	0.596142292
121	0.5953182697
122	0.5949112892
123	0.5946073532
124	0.5942576408
125	0.5933987141
126	0.592670536
127	0.5920516014
128	0.5915565491
129	0.5909619331
130	0.5900818825
131	0.5895821571
132	0.5891432762
133	0.5882936001
134	0.5876829624
135	0.5873333931
136	0.586793232
137	0.585934639
138	0.5854494095
139	0.5847072124
140	0.584223032
141	0.5834711075
142	0.5826905727
143	0.5821705818
144	0.581719923
145	0.5812142372
146	0.5811296463
147	0.580415535
148	0.5798311234
149	0.5789155006
150	0.5782741547
151	0.5778930664
152	0.5771142006
153	0.5767234802
154	0.5761533737
155	0.575813961
156	0.5752056122
157	0.5746778965
158	0.5741621971
159	0.5739283562
160	0.5738148689
161	0.5732237816
162	0.572551012
163	0.5723231316
164	0.572015667
165	0.5716264725
166	0.5709889412
167	0.5704334259
168	0.56985569
169	0.5695839405
170	0.5690585136
171	0.5683977604
172	0.5677471161
173	0.5674804688
174	0.5667658806
175	0.5661553383
176	0.5654564857
177	0.5649147987
178	0.5644369602
179	0.5639442444
180	0.5633559227
181	0.562703228
182	0.5620654583
183	0.5619936943
184	0.5613546848
185	0.5606121063
186	0.5604324341
187	0.5599339962
188	0.5595152855
189	0.5589932442
190	0.5583132267
191	0.5579864502
192	0.5574532986
193	0.5570111752
194	0.5565499306
195	0.5558524132
196	0.5555793285
197	0.5551159859
198	0.5546418667
199	0.5542464256
200	0.5536760807
201	0.5531830311
202	0.5525793076
203	0.5522368431
204	0.5519014835
205	0.5513498306
206	0.5507342815
207	0.5504066467
208	0.5500426292
209	0.5494290352
210	0.5491280556
211	0.548496151
212	0.5480723381
213	0.5476213932
214	0.5470670223
215	0.5467419624
216	0.546244669
217	0.5456598759
218	0.5450500965
219	0.5448078632
220	0.5444722176
221	0.5440288544
222	0.5436373711
223	0.5430750847
224	0.5430674553
225	0.5427945137
226	0.5424613953
227	0.5422379494
228	0.5418669701
229	0.5413912773
230	0.5409640789
231	0.5407739639
232	0.5404892445
233	0.5401679993
234	0.5394946098
235	0.5390055656
236	0.5385389328
237	0.5381160259
238	0.5375981331
239	0.5369290352
240	0.5366030693
241	0.535963726
242	0.5352352142
243	0.5349179745
244	0.5341449738
245	0.5337649822
246	0.5332947731
247	0.5328353405
248	0.5320586205
249	0.5314428329
250	0.5308017731
251	0.5301952839
252	0.5294819832
253	0.5291592598
254	0.5286787033
255	0.5282234192
256	0.5278811455
257	0.5275399208
258	0.52696805
259	0.5266045094
260	0.5263478279
261	0.5258770943
262	0.52540555
263	0.5247614861
264	0.5243355751
265	0.5239287853
266	0.5233082771
267	0.522916317
268	0.5225743771
269	0.5219813347
270	0.5216920853
271	0.5211551666
272	0.5208577156
273	0.5205752373
274	0.5203392029
275	0.5199519634
276	0.519606781
277	0.5191003799
278	0.5188006401
279	0.5185077667
280	0.5181087494
281	0.517820406
282	0.51736269
283	0.5168806076
284	0.5165441513
285	0.5163396835
286	0.5158426285
287	0.5154325962
288	0.5153574944
289	0.5150557995
290	0.5147519112
291	0.5142007828
292	0.513768816
293	0.5134181023
294	0.5130356312
295	0.5127891541
296	0.5122463226
297	0.5116933346
298	0.5112023354
299	0.5108934402
300	0.5104644299
301	0.5100492477
302	0.5099230766
303	0.5094406128
304	0.508979702
305	0.5083265305
306	0.5079614639
307	0.5078567505
308	0.5076048851
309	0.5072032452
310	0.5067009926
311	0.5066380501
312	0.5065501213
313	0.5063570976
314	0.5058970451
315	0.5055691242
316	0.5052972794
317	0.5047390461
318	0.5042779922
319	0.5040846825
320	0.5036959648
321	0.5032365799
322	0.5029123783
323	0.5024824142
324	0.5021696568
325	0.5018515587
326	0.5014322758
327	0.5012653351
328	0.5008637905
329	0.5006507874
330	0.5000425339
331	0.4998205662
332	0.4996479034
333	0.4990532398
334	0.4986437321
335	0.4982009411
336	0.4977395058
337	0.4973496914
338	0.4970538139
339	0.4964745522
340	0.4961758614
341	0.4956991196
342	0.4952073097
343	0.4949145794
344	0.494601202
345	0.4943048954
346	0.4939139366
347	0.4934051991
348	0.4927819729
349	0.4925871849
350	0.4922026634
351	0.4920759678
352	0.4917663574
353	0.491203022
354	0.4908828735
355	0.4904333115
356	0.4900120735
357	0.4895083427
358	0.4891143322
359	0.4887189388
360	0.4883245945
361	0.4879689217
362	0.4876821995
363	0.4874195099
364	0.4868709564
365	0.4865225792
366	0.4862244129
367	0.4859968185
368	0.4855768204
369	0.4852615356
370	0.4848128319
371	0.4845509529
372	0.4840226173
373	0.4838785172
374	0.4835488319
375	0.483165741
376	0.48292799
377	0.4827384949
378	0.4823705673
379	0.4821027756
380	0.4817358971
381	0.481574297
382	0.4813774109
383	0.4809680462
384	0.4808051109
385	0.4804938316
386	0.4802847862
387	0.4798286915
388	0.4794412613
389	0.4789320946
390	0.4784933567
