iter	Passed	Remaining
0	1	1877
1	3	1967
2	6	2144
3	8	2007
4	9	1987
5	11	1982
6	13	1961
7	15	1945
8	17	1942
9	19	1944
10	22	1978
11	23	1937
12	25	1936
13	27	1943
14	29	1942
15	31	1947
16	33	1953
17	36	1965
18	38	1973
19	40	1972
20	42	1964
21	44	1961
22	46	1962
23	48	1964
24	50	1959
25	52	1979
26	55	1984
27	57	1982
28	59	1985
29	61	1990
30	63	1986
31	65	1984
32	67	1991
33	70	1989
34	72	1986
35	74	1982
36	75	1975
37	79	2020
38	82	2020
39	84	2035
40	87	2035
41	89	2032
42	91	2032
43	93	2029
44	95	2026
45	97	2020
46	99	2020
47	101	2019
48	103	2006
49	105	1995
50	106	1989
51	108	1980
52	110	1977
53	112	1970
54	114	1967
55	117	1979
56	119	1974
57	121	1977
58	123	1977
59	125	1972
60	127	1969
61	130	1968
62	132	1971
63	134	1966
64	136	1962
65	138	1957
66	140	1953
67	142	1948
68	144	1943
69	146	1940
70	147	1928
71	149	1928
72	151	1924
73	153	1922
74	155	1918
75	157	1913
76	159	1907
77	161	1904
78	163	1904
79	165	1901
80	167	1897
81	169	1893
82	171	1892
83	173	1891
84	175	1889
85	177	1889
86	179	1888
87	181	1885
88	183	1881
89	185	1878
90	187	1876
91	189	1874
92	192	1872
93	194	1873
94	196	1872
95	198	1869
96	200	1869
97	202	1865
98	204	1862
99	206	1860
100	209	1860
101	211	1858
102	212	1852
103	214	1849
104	216	1846
105	218	1841
106	220	1836
107	222	1834
108	224	1832
109	226	1830
110	228	1828
111	230	1826
112	232	1824
113	234	1822
114	236	1820
115	238	1819
116	241	1821
117	243	1819
118	245	1817
119	247	1816
120	249	1815
121	251	1812
122	253	1809
123	256	1808
124	258	1806
125	259	1802
126	261	1800
127	263	1797
128	265	1795
129	268	1794
130	270	1793
131	272	1793
132	274	1790
133	276	1786
134	278	1783
135	280	1781
136	282	1777
137	284	1774
138	286	1773
139	288	1772
140	290	1770
141	292	1768
142	294	1765
143	296	1763
144	298	1761
145	300	1759
146	302	1753
147	304	1751
148	306	1749
149	308	1747
150	310	1746
151	312	1744
152	314	1742
153	316	1739
154	318	1737
155	320	1735
156	322	1733
157	325	1732
158	326	1729
159	328	1726
160	330	1721
161	332	1718
162	334	1716
163	336	1713
164	337	1710
165	340	1708
166	342	1706
167	344	1704
168	346	1702
169	348	1701
170	350	1699
171	352	1696
172	354	1694
173	356	1691
174	358	1689
175	360	1687
176	362	1685
177	364	1683
178	366	1682
179	368	1680
180	370	1678
181	372	1676
182	374	1673
183	376	1667
184	378	1665
185	380	1663
186	382	1661
187	384	1659
188	386	1657
189	388	1655
190	390	1653
191	392	1651
192	394	1650
193	396	1648
194	399	1647
195	401	1645
196	403	1642
197	405	1640
198	407	1638
199	408	1635
200	411	1634
201	413	1632
202	415	1629
203	417	1627
204	419	1624
205	420	1622
206	422	1620
207	424	1618
208	427	1616
209	429	1614
210	431	1613
211	433	1610
212	435	1609
213	437	1606
214	439	1604
215	441	1602
216	443	1600
217	445	1598
218	447	1595
219	449	1593
220	451	1590
221	453	1589
222	455	1586
223	457	1584
224	458	1580
225	460	1577
226	462	1575
227	464	1572
228	466	1570
229	468	1568
230	470	1567
231	472	1565
232	475	1563
233	477	1562
234	479	1560
235	481	1558
236	483	1556
237	485	1554
238	487	1553
239	490	1552
240	492	1550
241	494	1548
242	496	1546
243	498	1543
244	500	1541
245	502	1539
246	504	1538
247	506	1535
248	508	1533
249	510	1531
250	512	1529
251	514	1527
252	516	1525
253	518	1524
254	521	1522
255	523	1520
256	525	1518
257	527	1516
258	529	1514
259	531	1513
260	533	1509
261	535	1507
262	537	1505
263	539	1504
264	541	1501
265	543	1499
266	545	1497
267	547	1495
268	549	1493
269	551	1492
270	553	1489
271	555	1487
272	557	1485
273	559	1483
274	561	1481
275	563	1477
276	565	1475
277	567	1473
278	569	1470
279	571	1468
280	573	1466
281	575	1464
282	577	1462
283	579	1459
284	581	1457
285	583	1456
286	585	1454
287	587	1452
288	588	1449
289	591	1447
290	592	1444
291	594	1442
292	597	1440
293	599	1438
294	600	1436
295	603	1434
296	605	1432
297	607	1430
298	609	1428
299	611	1426
300	613	1424
301	615	1422
302	617	1419
303	619	1417
304	621	1415
305	623	1414
306	625	1412
307	627	1409
308	629	1407
309	631	1404
310	633	1402
311	634	1399
312	636	1396
313	638	1393
314	639	1391
315	642	1389
316	644	1387
